Rank,Name,Platform,Year,Genre,Publisher,Developer,Global_Sales
51,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,,11.66
52,Super Mario Galaxy,Wii,2007,Platform,Nintendo,,11.52
53,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,,11.33
54,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,,11.18
55,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,,11.02
56,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,,10.95
57,Super Mario 3D Land,3DS,2011,Platform,Nintendo,,10.79
58,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,,10.77
59,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,,10.69
60,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,,10.57
61,Super Mario All-Stars,SNES,1993,Platform,Nintendo,,10.55
62,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,,10.49
63,Super Mario 64,DS,2004,Platform,Nintendo,,10.42
64,Just Dance 3,Wii,2011,Misc,Ubisoft,,10.26
65,Call of Duty: Ghosts,X360,2013,Shooter,Activision,,10.21
66,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,,9.88
67,Mario Kart 64,N64,1996,Racing,Nintendo,,9.87
68,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,,9.82
69,Halo 4,X360,2012,Shooter,Microsoft Game Studios,,9.76
70,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,,9.72
71,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,,9.59
72,Just Dance 2,Wii,2010,Misc,Ubisoft,,9.52
73,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,,9.49
74,Call of Duty: Black Ops IIII,PS4,2018,Shooter,Activision,Treyarch,9.32
75,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,,9.32
76,Donkey Kong Country,SNES,1994,Platform,Nintendo,,9.3
77,Minecraft,X360,2013,Misc,Microsoft Game Studios,,9.2
78,FIFA 19,PS4,2018,Sports,Electronic Arts,EA Sports,9.15
79,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,,9.09
80,Mario Party DS,DS,2007,Misc,Nintendo,,9.02
81,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,,8.84
82,Super Mario Kart,SNES,1992,Racing,Nintendo,,8.76
83,FIFA 16,PS4,2015,Sports,Electronic Arts,,8.49
84,Wii Party,Wii,2010,Misc,Nintendo,,8.49
85,Halo 2,XB,2004,Shooter,Microsoft Game Studios,,8.49
86,Mario Party 8,Wii,2007,Misc,Nintendo,,8.42
87,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,,8.33
88,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,,8.24
89,The Sims 3,PC,2009,Simulation,Electronic Arts,,8.11
90,GoldenEye 007,N64,1997,Shooter,Nintendo,,8.09
91,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,,8.06
92,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,,8.05
93,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,,7.86
94,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,,7.84
95,Pac-Man,2600,1982,Puzzle,Atari,,7.81
96,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,,7.72
97,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,,7.69
98,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,,7.67
99,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,,7.6
100,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,,7.6
101,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,,7.58
102,Super Mario Bros. 2,NES,1988,Platform,Nintendo,,7.46
103,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,,7.45
104,Call of Duty: World at War,X360,2008,Shooter,Activision,,7.37
105,Battlefield 3,X360,2011,Shooter,Electronic Arts,,7.34
106,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,,7.31
107,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,,7.3
108,Just Dance,Wii,2009,Misc,Ubisoft,,7.27
109,Battlefield 3,PS3,2011,Shooter,Electronic Arts,,7.23
110,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,,7.2
111,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,,7.16
112,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,,7.13
113,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,,7.07
114,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,,6.96
115,Mario Kart 8,WiiU,2014,Racing,Nintendo,,6.96
116,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,,6.95
117,Just Dance 4,Wii,2012,Misc,Ubisoft,,6.91
118,FIFA 14,PS3,2013,Sports,Electronic Arts,,6.9
119,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,,6.9
120,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,,6.83
121,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,,6.83
122,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,,6.82
123,Zumba Fitness,Wii,2010,Sports,505 Games,,6.81
124,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,,6.76
125,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,,6.73
126,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,,6.72
127,FIFA 12,PS3,2011,Sports,Electronic Arts,,6.69
128,Big Brain Academy,DS,2005,Misc,Nintendo,,6.67
129,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,,6.6
130,FIFA 15,PS4,2014,Sports,Electronic Arts,,6.59
131,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,,6.59
132,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,,6.56
133,The Legend of Zelda,NES,1986,Action,Nintendo,,6.51
134,Assassin's Creed III,PS3,2012,Action,Ubisoft,,6.5
135,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,,6.43
136,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,,6.41
137,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,,6.4
138,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,,6.39
139,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,,6.36
140,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,,6.34
141,Super Mario Sunshine,GC,2002,Platform,Nintendo,,6.31
142,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,,6.3
143,World of Warcraft,PC,2004,Role-Playing,Activision,,6.28
144,Driver,PS,1999,Action,GT Interactive,,6.27
145,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,,6.24
146,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,,6.24
147,Call of Duty: WWII,XOne,2017,Shooter,Activision,Sledgehammer Games,6.23
148,God of War (2018),PS4,2018,Action,Sony Interactive Entertainment,SIE Santa Monica Studio,6.15
149,Gears of War,X360,2006,Shooter,Microsoft Game Studios,,6.11
150,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,,6.05
151,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,,6.03
152,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,,6.03
153,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,,6.03
154,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,,5.99
155,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,,5.95
156,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,,5.92
157,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,,5.84
158,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,,5.83
159,Resident Evil 2,PS,1998,Action,Virgin Interactive,,5.82
160,Red Dead Redemption 2,XOne,2018,Action-Adventure,Rockstar Games,Rockstar Games,5.77
161,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,,5.74
162,Cooking Mama,DS,2006,Simulation,505 Games,,5.72
163,Destiny,PS4,2014,Shooter,Activision,,5.65
164,Tetris,NES,1988,Puzzle,Nintendo,,5.58
165,Assassin's Creed II,PS3,2009,Action,Ubisoft,,5.57
166,Assassin's Creed,X360,2007,Adventure,Ubisoft,,5.55
167,Super Smash Bros.,N64,1999,Fighting,Nintendo,,5.55
168,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,,5.53
169,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,,5.51
170,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,,5.5
171,Super Mario Advance,GBA,2001,Platform,Nintendo,,5.49
172,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,,5.47
173,Super Mario World,GBA,2001,Platform,Nintendo,,5.46
174,Pokemon Stadium,N64,1999,Strategy,Nintendo,,5.45
175,Call of Duty: World at War,PS3,2008,Shooter,Activision,,5.43
176,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,,5.42
177,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,,5.42
178,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,,5.36
179,Dr. Mario,GB,1989,Puzzle,Nintendo,,5.34
180,Pokemon Pinball,GB,1999,Misc,Nintendo,,5.31
181,Assassin's Creed III,X360,2012,Action,Ubisoft,,5.3
182,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,,5.3
183,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,,5.29
184,Assassin's Creed II,X360,2009,Action,Ubisoft,,5.27
185,Donkey Kong 64,N64,1999,Platform,Nintendo,,5.27
186,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,,5.26
187,Tomb Raider II,PS,1997,Action,Eidos Interactive,,5.24
188,Madden NFL 2004,PS2,2003,Sports,Electronic Arts,,5.23
189,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,,5.21
190,Diablo III,PC,2012,Role-Playing,Activision,,5.2
191,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,,5.2
192,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,,5.19
193,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,,5.19
194,FIFA Soccer 13,X360,2012,Action,Electronic Arts,,5.18
195,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,,5.17
196,Tomodachi Life,3DS,2013,Simulation,Nintendo,,5.15
197,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,,5.15
198,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,,5.14
199,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,,5.13
200,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,,5.13
201,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,,5.13
202,Kirby's Dream Land,GB,1992,Platform,Nintendo,,5.13
203,Guitar Hero II,PS2,2006,Misc,RedOctane,,5.12
204,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,,5.12
205,Resident Evil 5,PS3,2009,Action,Capcom,,5.11
206,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,,5.08
207,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,,5.08
208,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,,5.08
209,Super Mario Bros.,GB,1999,Platform,Nintendo,,5.07
210,Resident Evil,PS,1996,Action,Virgin Interactive,,5.05
211,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,,5.02
212,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,,5.02
213,Warzone 2100,PS,1999,Strategy,Eidos Interactive,,5.01
214,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,,5
215,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,,5
216,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,,4.98
217,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,,4.96
218,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,,4.96
219,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,,4.94
220,Madden NFL 06,PS2,2005,Sports,Electronic Arts,,4.91
221,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,,4.9
222,Diddy Kong Racing,N64,1997,Racing,Nintendo,,4.88
223,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,,4.87
224,Call of Duty: Black Ops IIII,XOne,2018,Shooter,Activision,Treyarch,4.85
225,Dr. Mario,NES,1990,Puzzle,Nintendo,,4.85
226,God of War III,PS3,2010,Action,Sony Computer Entertainment,,4.84
227,Crash Bandicoot N. Sane Trilogy,PS4,2017,Platform,Activision,Vicarious Visions,4.83
228,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,,4.83
229,Assassin's Creed,PS3,2007,Adventure,Ubisoft,,4.83
230,FIFA 15,PS3,2014,Sports,Electronic Arts,,4.82
231,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,,4.79
232,FIFA 17,PS4,2016,Sports,Electronic Arts,,4.77
233,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,,4.76
234,Driver 2,PS,2000,Action,Atari,,4.73
235,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,,4.7
236,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,,4.68
237,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,,4.68
238,Monster Hunter: World,PS4,2018,Action,Capcom,Capcom,4.67
239,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,,4.67
240,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,,4.64
241,Tomb Raider,PS,1996,Action,Eidos Interactive,,4.63
242,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,,4.62
243,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,,4.61
244,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,,4.6
245,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,,4.58
246,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,,4.58
247,"Pokemon: Let's Go, Pikachu!",NS,2018,Role-Playing,Nintendo,Game Freak,4.57
248,Splatoon,WiiU,2015,Shooter,Nintendo,,4.57
249,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,,4.55
250,Star Wars Battlefront II (2017),PS4,2017,Shooter,Electronic Arts,EA DICE,4.53
251,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,,4.53
252,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,,4.53
253,Pitfall!,2600,1981,Platform,Activision,,4.5
254,Madden NFL 07,PS2,2006,Sports,Electronic Arts,,4.49
255,Spider-Man: The Movie,PS2,2002,Action,Activision,,4.48
256,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,,4.47
257,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,,4.47
258,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,,4.45
259,God of War,PS2,2005,Action,Sony Computer Entertainment,,4.45
260,Nintendo Land,WiiU,2012,Misc,Nintendo,,4.44
261,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,,4.42
262,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,,4.41
263,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,,4.39
264,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,,4.39
265,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,,4.38
266,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,,4.37
267,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,,4.35
268,Sonic the Hedgehog,GEN,1991,Platform,Sega,,4.34
269,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,,4.33
270,Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,,4.31
271,FIFA 14,X360,2013,Sports,Electronic Arts,,4.31
272,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,,4.31
273,Asteroids,2600,1980,Shooter,Atari,,4.31
274,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,,4.26
275,Super Mario 3D World,WiiU,2013,Platform,Nintendo,,4.25
276,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,,4.25
277,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,,4.24
278,Namco Museum,GBA,2001,Misc,Namco Bandai Games,,4.24
279,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,,4.23
280,Daxter,PSP,2006,Platform,Sony Computer Entertainment,,4.22
281,The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,,4.21
282,FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,,4.21
283,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,,4.21
284,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,,4.2
285,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,,4.2
286,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,,4.2
287,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,,4.19
288,FIFA 12,X360,2011,Sports,Electronic Arts,,4.19
289,Street Fighter IV,PS3,2009,Fighting,Capcom,,4.19
290,Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,,4.17
291,Frogger,PS,1997,Action,Hasbro Interactive,,4.16
292,Excitebike,NES,1984,Racing,Nintendo,,4.16
293,Destiny 2,PS4,2017,Shooter,Activision,Bungie,4.14
294,Watch Dogs,PS4,2014,Action,Ubisoft,,4.14
295,Madden NFL 2003,PS2,2002,Sports,Electronic Arts,,4.14
296,Half-Life,PC,1997,Shooter,Vivendi Games,,4.12
297,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,,4.12
298,FIFA Soccer 07,PS2,2006,Sports,Electronic Arts,,4.11
299,The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,,4.1
300,Carnival Games,Wii,2007,Misc,Take-Two Interactive,,4.1
301,Street Fighter II Turbo,SNES,1992,Fighting,Capcom,,4.1
302,Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,,4.09
303,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,,4.09
304,Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,,4.08
305,God of War II,PS2,2007,Action,Sony Computer Entertainment,,4.07
306,Assassin's Creed Origins,PS4,2017,Action,Ubisoft,Ubisoft Montreal,4.06
307,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,,4.06
308,World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,,4.06
309,Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,,4.05
310,Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,,4.05
311,Far Cry 4,PS4,2014,Shooter,Ubisoft,,4.03
312,Star Fox 64,N64,1997,Shooter,Nintendo,,4.03
313,Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,,4.02
314,Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,,4.01
315,Golf,NES,1984,Sports,Nintendo,,4.01
316,Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,,4
317,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,,3.99
318,Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,,3.98
319,Far Cry 5,PS4,2018,Action,Ubisoft,Ubisoft,3.95
320,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,,3.92
321,EA Sports Active,Wii,2009,Sports,Electronic Arts,,3.92
322,Donkey Kong Land,GB,1994,Platform,Nintendo,,3.91
323,Tony Hawk's Underground,PS2,2003,Sports,Activision,,3.9
324,Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,,3.89
325,Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,,3.89
326,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,,3.88
327,MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,,3.88
328,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,,3.87
329,Tekken 5,PS2,2005,Fighting,Namco Bandai Games,,3.87
330,Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,,3.87
331,NBA 2K16,PS4,2015,Sports,Take-Two Interactive,,3.85
332,World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,,3.85
333,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,,3.84
334,Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,,3.84
335,Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo,,3.83
336,The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,,3.83
337,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,,3.82
338,Nintendogs + cats,3DS,2011,Simulation,Nintendo,,3.81
339,Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,,3.79
340,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,,3.78
341,LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,,3.78
342,Gran Turismo Sport,PS4,2017,Racing,Sony Interactive Entertainment,Polyphony Digital,3.77
343,Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,,3.77
344,Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive,,3.77
345,Just Dance 2014,Wii,2013,Misc,Ubisoft,,3.76
346,Super Paper Mario,Wii,2007,Platform,Nintendo,,3.76
347,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,,3.76
348,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,,3.73
349,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,,3.73
350,Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive,,3.72
351,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,,3.71
352,FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,,3.7
353,Pokémon Trading Card Game,GB,1998,Strategy,Nintendo,,3.7
354,Battlefield 4,PS3,2013,Shooter,Electronic Arts,,3.69
355,MySims,DS,2007,Simulation,Electronic Arts,,3.69
356,Friend Collection,DS,2009,Misc,Nintendo,,3.67
357,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,,3.67
358,Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,,3.66
359,Guitar Hero: World Tour,Wii,2008,Misc,Activision,,3.65
360,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,,3.65
361,Banjo-Kazooie,N64,1998,Platform,Nintendo,,3.65
362,Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,,3.64
363,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,,3.64
364,Call of Duty: Ghosts,PS4,2013,Shooter,Activision,,3.63
365,FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,,3.63
